Year,Value,Box Office
2021,4482,Domestic
2020,2113,Domestic
2019,11363,Domestic
2018,11892,Domestic
2017,11075,Domestic
2016,11375,Domestic
2015,11148,Domestic
2014,10368,Domestic
2013,10955,Domestic
2012,10843,Domestic
2011,10155,Domestic
2010,10585,Domestic
2009,10615,Domestic
2008,9652,Domestic
2007,9679,Domestic
2006,9203,Domestic
2005,8833,Domestic
2004,9354,Domestic
2003,9232,Domestic
2002,9164,Domestic
2001,7959,Domestic
2021,17034,International
2020,10146,International
2019,30681,International
2018,30919,International
2017,28796,International
2016,26163,International
2015,25642,International
2014,22811,International
2013,21911,International
2012,20602,International
2011,18280,International
2010,19639,International
2009,18047,International
2008,15444,International
2007,16454,International
2006,14724,International
2005,13250,International
2004,14031,International
2003,11079,International
2002,11914,International
2001,7959,International
2021,21517,Worldwide
2020,12260,Worldwide
2019,42044,Worldwide
2018,42811,Worldwide
2017,39871,Worldwide
2016,37538,Worldwide
2015,36791,Worldwide
2014,33180,Worldwide
2013,32866,Worldwide
2012,31446,Worldwide
2011,28435,Worldwide
2010,30224,Worldwide
2009,28662,Worldwide
2008,25096,Worldwide
2007,26133,Worldwide
2006,23927,Worldwide
2005,22084,Worldwide
2004,23386,Worldwide
2003,20312,Worldwide
2002,21079,Worldwide
2001,15918,Worldwide
2021,6065
2020,1752
2019,9896
2018,8999
2017,8929
2016,8038
2015,6743
2014,6531
2013,4132
2012,3160
2011,864
2010,532
2009,687
2008,165
2007,501
2006,286
2005,63
2004,26
2003,35
2002,6
2001,5
